tile,year,eco_id,n_eco_bbox_approx,mosaic_path,west,south,east,north
CHILE-SH-19-V-A,2015,5,6613194,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SH-19-V-A-2015-L8-3-184F-HARM_masked.tif,-72.001137832049,-29.005163219764754,-70.49870551935909,-27.998870438494066
CHILE-SH-19-V-B,2015,5,1543346,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SH-19-V-B-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-29.005163219764754,-68.99896815252156,-27.998870438494066
CHILE-SH-19-V-C,2015,5,11997295,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SH-19-V-C-2015-L8-3-184F-HARM_masked.tif,-72.001137832049,-30.005257625575016,-70.49870551935909,-28.999234338889565
CHILE-SH-19-V-D,2015,5,1983952,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SH-19-V-D-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-30.005257625575016,-68.99869865793632,-28.999234338889565
CHILE-SH-19-Y-A,2015,5,15098565,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SH-19-Y-A-2015-L8-3-184F-HARM_masked.tif,-72.001137832049,-31.005352031385282,-70.49870551935909,-29.999059250114595
CHILE-SH-19-Y-B,2015,5,1645256,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SH-19-Y-B-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-31.005352031385282,-68.99869865793632,-29.999059250114595
CHILE-SH-19-Y-C,2015,5,13458725,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SH-19-Y-C-2015-L8-3-184F-HARM_masked.tif,-72.001137832049,-32.005446437195545,-70.49870551935909,-30.99888416133962
CHILE-SH-19-Y-D,2015,5,104346,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SH-19-Y-D-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-32.005446437195545,-68.99869865793632,-30.99888416133962
CHILE-SI-19-V-A,2015,5,10949275,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SI-19-V-A-2015-L8-3-184F-HARM_masked.tif,-72.001137832049,-33.005540843005804,-70.49870551935909,-31.99897856714988
CHILE-SI-19-V-B,2015,5,675360,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SI-19-V-B-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-33.005540843005804,-68.99869865793632,-31.99897856714988
