representative,band_name,cluster_id,size,source,family
0,band_0,12,6,central,band
8,band_8,5,6,central,band
13,band_13,13,6,central,band
14,band_14,20,6,central,band
15,band_15,8,6,central,band
37,band_37,0,6,central,band
38,band_38,14,6,central,band
39,band_39,15,6,central,band
41,band_41,16,6,central,band
44,band_44,1,6,central,band
71,band_71,2,6,central,band
80,band_80,7,6,central,band
96,band_96,9,6,central,band
97,band_97,19,6,central,band
98,band_98,3,6,central,band
99,band_99,4,6,central,band
103,band_103,10,6,central,band
104,band_104,18,6,central,band
119,band_119,6,6,central,band
124,band_124,11,6,central,band
125,band_125,17,6,central,band
