tile,year,eco_id,n_eco_bbox_approx,mosaic_path,west,south,east,north
CHILE-SJ-18-Z-C,2015,11,168107,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SJ-18-Z-C-2015-L8-3-184F-HARM_masked.tif,-75.00142104947979,-40.00593218909241,-73.49871924220466,-38.99883092406602
CHILE-SJ-18-Z-D,2015,11,11891483,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SJ-18-Z-D-2015-L8-3-184F-HARM_masked.tif,-73.50141418805701,-40.00593218909241,-71.99871238078188,-38.99883092406602
CHILE-SJ-19-Y-C,2015,11,34041,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SJ-19-Y-C-2015-L8-3-184F-HARM_masked.tif,-72.00140732663424,-40.00593218909241,-70.4987055193591,-38.99883092406602
CHILE-SK-18-X-A,2015,11,3794964,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SK-18-X-A-2015-L8-3-184F-HARM_masked.tif,-75.00142104947979,-41.00602659490268,-73.49871924220466,-39.998925329876286
CHILE-SK-18-X-B,2015,11,14807177,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SK-18-X-B-2015-L8-3-184F-HARM_masked.tif,-73.50141418805701,-41.00602659490268,-71.99871238078188,-39.998925329876286
CHILE-SK-18-X-C,2015,11,3363247,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SK-18-X-C-2015-L8-3-184F-HARM_masked.tif,-75.00142104947979,-42.005851506127705,-73.49871924220466,-40.999019735686545
CHILE-SK-18-X-D,2015,11,7225677,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SK-18-X-D-2015-L8-3-184F-HARM_masked.tif,-73.50141418805701,-42.005851506127705,-71.99871238078188,-40.999019735686545
