band_index,cluster_id,band_name
0,36,band_0
1,28,band_1
2,32,band_2
3,28,band_3
4,15,band_4
5,15,band_5
6,28,band_6
7,28,band_7
8,26,band_8
9,29,band_9
10,35,band_10
11,29,band_11
12,21,band_12
13,26,band_13
14,37,band_14
15,16,band_15
16,16,band_16
17,16,band_17
18,16,band_18
19,16,band_19
20,16,band_20
21,16,band_21
22,29,band_22
23,12,band_23
24,12,band_24
25,12,band_25
26,12,band_26
27,12,band_27
28,10,band_28
29,16,band_29
30,16,band_30
31,16,band_31
32,16,band_32
33,16,band_33
34,16,band_34
35,16,band_35
36,16,band_36
37,0,band_37
38,24,band_38
39,24,band_39
40,25,band_40
41,22,band_41
42,0,band_42
43,0,band_43
44,28,band_44
45,32,band_45
46,28,band_46
47,15,band_47
48,15,band_48
49,28,band_49
50,28,band_50
51,16,band_51
52,16,band_52
53,16,band_53
54,16,band_54
55,16,band_55
56,16,band_56
57,16,band_57
58,16,band_58
59,16,band_59
60,16,band_60
61,16,band_61
62,16,band_62
63,16,band_63
64,16,band_64
65,16,band_65
66,16,band_66
67,16,band_67
68,16,band_68
69,16,band_69
70,16,band_70
71,27,band_71
72,27,band_72
73,16,band_73
74,16,band_74
75,16,band_75
76,16,band_76
77,16,band_77
78,28,band_78
79,28,band_79
80,11,band_80
81,11,band_81
82,16,band_82
83,16,band_83
84,16,band_84
85,16,band_85
86,16,band_86
87,16,band_87
88,16,band_88
89,20,band_89
90,33,band_90
91,13,band_91
92,12,band_92
93,12,band_93
94,12,band_94
95,23,band_95
96,2,band_96
97,1,band_97
98,3,band_98
99,30,band_99
100,31,band_100
101,30,band_101
102,34,band_102
103,4,band_103
104,1,band_104
105,28,band_105
106,19,band_106
107,28,band_107
108,19,band_108
109,19,band_109
110,28,band_110
111,28,band_111
112,16,band_112
113,16,band_113
114,16,band_114
115,16,band_115
116,16,band_116
117,16,band_117
118,16,band_118
119,6,band_119
120,17,band_120
121,29,band_121
122,8,band_122
123,9,band_123
124,5,band_124
125,5,band_125
126,28,band_126
127,32,band_127
128,28,band_128
129,15,band_129
130,15,band_130
131,28,band_131
132,28,band_132
133,12,band_133
134,12,band_134
135,12,band_135
136,12,band_136
137,12,band_137
138,10,band_138
139,16,band_139
140,16,band_140
141,16,band_141
142,16,band_142
143,16,band_143
144,16,band_144
145,16,band_145
146,16,band_146
147,16,band_147
148,16,band_148
149,16,band_149
150,16,band_150
151,16,band_151
152,16,band_152
153,16,band_153
154,7,band_154
155,16,band_155
156,16,band_156
157,16,band_157
158,16,band_158
159,16,band_159
160,16,band_160
161,16,band_161
162,14,band_162
163,15,band_163
164,18,band_164
165,15,band_165
166,18,band_166
167,14,band_167
168,16,band_168
169,14,band_169
170,15,band_170
171,18,band_171
172,15,band_172
173,18,band_173
174,14,band_174
175,16,band_175
176,16,band_176
177,16,band_177
178,16,band_178
179,16,band_179
180,16,band_180
181,16,band_181
182,16,band_182
183,16,band_183
