cluster_id,size,representative,mean_abs_r_to_others,band_name,members
34,100,88,0.9957363346610406,band_88,2 3 4 5 7 15 16 17 18 19 20 21 22 30 31 32 33 34 35 36 45 46 47 48 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 73 74 75 76 77 82 83 84 85 86 87 88 112 113 114 115 116 117 118 127 128 129 130 132 140 141 142 143 144 145 146 147 148 149 150 151 152 153 155 156 157 158 159 160 161 168 175 176 177 178 179 180 181 182 183
14,6,44,0.9931382536888123,band_44,1 6 44 49 126 131
30,6,172,0.9788228511810303,band_172,163 165 166 170 172 173
39,6,135,0.976184630393982,band_135,24 25 27 134 135 137
13,4,169,0.9734897613525391,band_169,162 167 169 174
25,4,136,0.9864493608474731,band_136,23 26 133 136
33,4,9,0.981078028678894,band_9,9 10 11 12
0,3,42,0.9793028831481934,band_42,37 42 43
32,3,139,0.9917943179607391,band_139,29 111 139
8,2,96,0.9569992423057556,band_96,96 103
10,2,28,0.9961742162704468,band_28,28 138
18,2,80,0.993164598941803,band_80,80 81
19,2,99,0.9663611650466919,band_99,99 101
22,2,120,0.965360701084137,band_120,120 121
27,2,106,0.9600765109062195,band_106,106 107
29,2,164,0.9877199530601501,band_164,164 171
31,2,97,0.9831982851028442,band_97,97 104
36,2,92,0.9703266024589539,band_92,92 93
38,2,91,0.985632598400116,band_91,91 94
1,1,38,1.0,band_38,38
2,1,39,1.0,band_39,39
3,1,41,1.0,band_41,41
4,1,40,1.0,band_40,40
5,1,71,1.0,band_71,71
6,1,72,1.0,band_72,72
7,1,78,1.0,band_78,78
9,1,98,1.0,band_98,98
11,1,105,1.0,band_105,105
12,1,110,1.0,band_110,110
15,1,79,1.0,band_79,79
16,1,8,1.0,band_8,8
17,1,13,1.0,band_13,13
20,1,100,1.0,band_100,100
21,1,102,1.0,band_102,102
23,1,119,1.0,band_119,119
24,1,122,1.0,band_122,122
26,1,108,1.0,band_108,108
28,1,109,1.0,band_109,109
35,1,125,1.0,band_125,125
37,1,89,1.0,band_89,89
40,1,95,1.0,band_95,95
41,1,90,1.0,band_90,90
42,1,154,1.0,band_154,154
43,1,123,1.0,band_123,123
44,1,124,1.0,band_124,124
45,1,14,1.0,band_14,14
46,1,0,1.0,band_0,0
