representative,band_name,cluster_id,size,source,family
0,band_0,46,6,central,band
8,band_8,16,6,central,band
9,band_9,33,6,central,band
13,band_13,17,6,central,band
14,band_14,45,6,central,band
28,band_28,10,6,central,band
38,band_38,1,6,central,band
39,band_39,2,6,central,band
40,band_40,4,6,central,band
41,band_41,3,6,central,band
42,band_42,0,6,central,band
44,band_44,14,6,central,band
71,band_71,5,6,central,band
72,band_72,6,6,central,band
78,band_78,7,6,central,band
79,band_79,15,6,central,band
80,band_80,18,6,central,band
88,band_88,34,6,central,band
89,band_89,37,6,central,band
90,band_90,41,6,central,band
91,band_91,38,6,central,band
92,band_92,36,6,central,band
95,band_95,40,6,central,band
96,band_96,8,6,central,band
97,band_97,31,6,central,band
98,band_98,9,6,central,band
99,band_99,19,6,central,band
100,band_100,20,6,central,band
102,band_102,21,6,central,band
105,band_105,11,6,central,band
106,band_106,27,6,central,band
108,band_108,26,6,central,band
109,band_109,28,6,central,band
110,band_110,12,6,central,band
119,band_119,23,6,central,band
120,band_120,22,6,central,band
122,band_122,24,6,central,band
123,band_123,43,6,central,band
124,band_124,44,6,central,band
125,band_125,35,6,central,band
135,band_135,39,6,central,band
136,band_136,25,6,central,band
139,band_139,32,6,central,band
154,band_154,42,6,central,band
164,band_164,29,6,central,band
169,band_169,13,6,central,band
172,band_172,30,6,central,band
