representative,band_name,cluster_id,size,source,family
0,band_0,45,6,central,band
8,band_8,40,6,central,band
9,band_9,33,6,central,band
10,band_10,39,6,central,band
11,band_11,37,6,central,band
12,band_12,34,6,central,band
13,band_13,41,6,central,band
14,band_14,50,6,central,band
17,band_17,30,6,central,band
24,band_24,29,6,central,band
27,band_27,28,6,central,band
28,band_28,21,6,central,band
38,band_38,2,6,central,band
39,band_39,3,6,central,band
40,band_40,1,6,central,band
41,band_41,49,6,central,band
42,band_42,0,6,central,band
46,band_46,18,6,central,band
49,band_49,19,6,central,band
50,band_50,32,6,central,band
71,band_71,4,6,central,band
72,band_72,5,6,central,band
78,band_78,6,6,central,band
80,band_80,22,6,central,band
89,band_89,26,6,central,band
90,band_90,12,6,central,band
91,band_91,35,6,central,band
92,band_92,25,6,central,band
93,band_93,27,6,central,band
95,band_95,38,6,central,band
96,band_96,42,6,central,band
97,band_97,47,6,central,band
98,band_98,44,6,central,band
99,band_99,9,6,central,band
100,band_100,13,6,central,band
101,band_101,11,6,central,band
102,band_102,10,6,central,band
103,band_103,43,6,central,band
104,band_104,48,6,central,band
105,band_105,16,6,central,band
107,band_107,17,6,central,band
110,band_110,20,6,central,band
119,band_119,7,6,central,band
120,band_120,23,6,central,band
121,band_121,24,6,central,band
122,band_122,14,6,central,band
123,band_123,15,6,central,band
124,band_124,8,6,central,band
125,band_125,46,6,central,band
154,band_154,36,6,central,band
169,band_169,31,6,central,band
